dataset,aggregate_type,emd,delta
Sepsis,AggregateType.MIN,0.5,0.43050550209839733
Sepsis,AggregateType.MIN,0.5,0.8181818181818181
Sepsis,AggregateType.MIN,0.5,0.6454899392731475
Sepsis,AggregateType.MIN,0.5,0.9801980198019802
Sepsis,AggregateType.MIN,0.5,0.9801980198019802
Sepsis,AggregateType.MIN,0.5,0.9801980198019802
Sepsis,AggregateType.MIN,0.5,0.9801980198019802
Sepsis,AggregateType.MIN,0.5,0.9801980198019802
Sepsis,AggregateType.MIN,0.5,0.9801980198019802
Sepsis,AggregateType.MIN,0.5,0.9801980198019802
Sepsis,AggregateType.MIN,0.5,0.9801980198019802
Sepsis,AggregateType.MAX,0.5,0.10920960409316131
Sepsis,AggregateType.MAX,0.5,0.001295041510543709
Sepsis,AggregateType.MAX,0.5,0.0036606912679971503
Sepsis,AggregateType.MAX,0.5,0.16300323448624807
Sepsis,AggregateType.MAX,0.5,0.00254428743035189
Sepsis,AggregateType.MAX,0.5,0.008079070156107596
Sepsis,AggregateType.MAX,0.5,0.0045959458694953765
Sepsis,AggregateType.MAX,0.5,0.004708728170064794
Sepsis,AggregateType.MAX,0.5,0.006239987011099466
Sepsis,AggregateType.MAX,0.5,0.0015934831447013678
Sepsis,AggregateType.MAX,0.5,0.005027436012002756
Sepsis,AggregateType.MAX,0.5,0.007263547628706741
Sepsis,AggregateType.MAX,0.5,0.010233354284431596
Sepsis,AggregateType.MAX,0.5,0.0023713499247630743
Sepsis,AggregateType.MAX,0.5,0.04793376048270104
Sepsis,AggregateType.MAX,0.5,0.004075349284007758
Sepsis,AggregateType.MAX,0.5,0.06387361907098639
Sepsis,AggregateType.MAX,0.5,0.007150763497235258
Sepsis,AggregateType.MAX,0.5,0.008559586831813753
Sepsis,AggregateType.MAX,0.5,0.02074103487995924
Sepsis,AggregateType.MAX,0.5,0.013156869858432813
Sepsis,AggregateType.MAX,0.5,0.005643530998618097
Sepsis,AggregateType.MAX,0.5,0.011992055786279938
Sepsis,AggregateType.MAX,0.5,0.022570529792138066
Sepsis,AggregateType.MAX,0.5,0.008342506065283752
Sepsis,AggregateType.MAX,0.5,0.050014432213862585
Sepsis,AggregateType.MAX,0.5,0.005293249627232934
Sepsis,AggregateType.MAX,0.5,0.025865971771313466
Sepsis,AggregateType.MAX,0.5,0.03712140404871476
Sepsis,AggregateType.MAX,0.5,0.04425156408849632
Sepsis,AggregateType.MAX,0.5,0.019677674076792943
Sepsis,AggregateType.MAX,0.5,0.08205030673691682
Sepsis,AggregateType.MAX,0.5,0.0056994063390487185
Sepsis,AggregateType.MAX,0.5,0.015048439682672256
Sepsis,AggregateType.MAX,0.5,0.12722816767446765
Sepsis,AggregateType.MAX,0.5,0.5194938532959157
Sepsis,AggregateType.MAX,0.5,0.012312667003379872
Sepsis,AggregateType.MAX,0.5,0.13462393173486234
Sepsis,AggregateType.MAX,0.5,0.030287905565519822
Sepsis,AggregateType.MAX,0.5,0.04341768868934213
Sepsis,AggregateType.MAX,0.5,0.022570529792138066
Sepsis,AggregateType.MAX,0.5,0.018567100589254183
Sepsis,AggregateType.MAX,0.5,0.01555675222645877
Sepsis,AggregateType.MAX,0.5,0.0315318050938478
Sepsis,AggregateType.MAX,0.5,0.1042824549168336
Sepsis,AggregateType.MAX,0.5,0.04793376048270104
Sepsis,AggregateType.MAX,0.5,0.11462326752458553
Sepsis,AggregateType.MAX,0.5,0.05610164262731307
Sepsis,AggregateType.MAX,0.5,0.12059886663983892
Sepsis,AggregateType.MAX,0.5,0.04184074169817818
Sepsis,AggregateType.MAX,0.5,0.02841932171753187
Sepsis,AggregateType.MAX,0.5,0.050014432213862585
Sepsis,AggregateType.MAX,0.5,0.027734874351465526
Sepsis,AggregateType.MAX,0.5,0.06387361907098639
Sepsis,AggregateType.MAX,0.5,0.04425156408849632
Sepsis,AggregateType.MAX,0.5,0.05476859455342948
Sepsis,AggregateType.MAX,0.5,0.13462393173486234
Sepsis,AggregateType.MAX,0.5,0.17529264864067992
Sepsis,AggregateType.MAX,0.5,0.12059886663983892
Sepsis,AggregateType.MAX,0.5,0.15231119481051203
Sepsis,AggregateType.MAX,0.5,0.206321201755929
Sepsis,AggregateType.MAX,0.5,0.36597197389438274
Sepsis,AggregateType.MAX,0.5,0.2801299996057702
Sepsis,AggregateType.MAX,0.5,0.206321201755929
Sepsis,AggregateType.MAX,0.5,0.0850747842894737
Sepsis,AggregateType.MAX,0.5,0.6454899392731475
Sepsis,AggregateType.MAX,0.5,0.14292623481676284
Sepsis,AggregateType.MAX,0.5,0.07923305349334152
Sepsis,AggregateType.MAX,0.5,0.5194938532959157
Sepsis,AggregateType.MAX,0.5,0.22627364030628608
Sepsis,AggregateType.MAX,0.5,0.43050550209839733
Sepsis,AggregateType.MAX,0.5,0.22627364030628608
Sepsis,AggregateType.MAX,0.5,0.07183185389020458
Sepsis,AggregateType.MAX,0.5,0.1042824549168336
